height,weight,skin_colour,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards
190.0,84.0,0.0,201,61,46,94,7,41,2,1
193.0,82.0,0.0,98,39,24,35,30,0,0,0
179.0,68.0,0.75,341,157,83,101,88,32,0,2
180.0,74.0,0.25,63,17,20,26,12,11,0,1
186.0,80.0,1.0,245,102,58,85,1,40,2,2
176.0,83.0,0.0,441,223,103,115,37,66,1,1
175.0,74.0,0.75,251,109,57,85,53,20,0,0
181.0,77.0,0.75,125,53,36,36,35,30,1,2
178.0,70.0,0.625,416,219,93,104,17,59,2,0
190.0,83.0,0.0,287,136,62,89,11,51,3,1
178.0,76.0,0.0,412,156,107,149,23,65,1,1
